АВС/ DEF;От;До;Емкость;Оператор;Регион;ИНН
900;5810000;5909999;100000;ООО "Т2 Мобайл";Владимирская обл.;7743895280
900;5910000;6009999;100000;ООО "Т2 Мобайл";Липецкая обл.;7743895280
900;6010000;6109999;100000;ООО "Т2 Мобайл";Рязанская обл.;7743895280
900;6110000;6199999;90000;ООО "СИМ ТЕЛЕКОМ";г. Москва * Московская область;7707840631
900;6200000;6599999;400000;АО "Теле2-Санкт-Петербург";г. Санкт-Петербург и Ленинградская область;7815020097
900;6600000;6699999;100000;ООО "Т2 Мобайл";Сахалинская обл.;7743895280
900;6700000;6799999;100000;ООО "Т2 Мобайл";Омская обл.;7743895280
900;6800000;6899999;100000;ООО "Т2 Мобайл";Камчатский край;7743895280
900;6900000;6999999;100000;ООО "Т2 Мобайл";Брянская обл.;7743895280
900;7000000;7499999;500000;ООО "Антарес";г. Москва и Московская область;7715650666
900;7500000;7699999;200000;ООО "Антарес";Свердловская обл.;7715650666
900;7700000;7899999;200000;ООО "Антарес";Челябинская обл.;7715650666
900;7900000;7999999;100000;ООО "Антарес";Воронежская обл.;7715650666
900;8000000;8124999;125000;ООО "Интеграл";Краснодарский край;7713621010
900;8125000;8125999;1000;ООО "Интеграл";Ставропольский край;7713621010
900;8126000;8249999;124000;ООО "Интеграл";Ростовская обл.;7713621010
900;8250000;8374999;125000;ООО "Интеграл";Волгоградская обл.;7713621010
900;8375000;8375999;1000;ООО "Интеграл";Томская обл.;7713621010
900;8376000;8376999;1000;ООО "Интеграл";Хабаровский край;7713621010
900;8377000;8499999;123000;ООО "Интеграл";Иркутская обл.;7713621010
900;8500000;8998999;499000;ООО "Арктур";г. Санкт-Петербург и Ленинградская область;7717590050
900;8999000;8999999;1000;ООО "Арктур";Самарская обл.;7717590050
900;9000000;9009999;10000;ООО "Газпром телеком";г. Москва и Московская область;7740000020
900;9010000;9109999;100000;ООО "Т2 Мобайл";Рязанская обл.;7743895280
900;9110000;9209999;100000;ООО "Т2 Мобайл";Архангельская обл.;7743895280
900;9210000;9239999;30000;ООО "Т2 Мобайл";Томская обл.;7743895280
900;9240000;9339999;100000;ООО "Т2 Мобайл";Воронежская обл.;7743895280
900;9340000;9439999;100000;ООО "Т2 Мобайл";Мурманская обл.;7743895280
900;9440000;9639999;200000;ООО "Т2 Мобайл";Воронежская обл.;7743895280
900;9640000;9739999;100000;ООО "Т2 Мобайл";Рязанская обл.;7743895280
900;9740000;9839999;100000;ООО "Т2 Мобайл";Республика Коми;7743895280
900;9840000;9849999;10000;ООО "Т2 Мобайл";Тамбовская обл.;7743895280
900;9850000;9899999;50000;ООО "Т2 Мобайл";Липецкая обл.;7743895280
900;9900000;9999999;100000;АО "Теле2-Санкт-Петербург";Псковская обл.;7815020097
